ID;Ika;Sukup;Alue;Q41;Q42;Q53;Q43;Q44;Q45;Q46;Q47;Q54;Q48;Q49;Q50;Q51;Q52;Q55;Talous;Tulot
184;4;1;4;1;1; ;2007;13;5;1;1; ;1997;13;5;1;1; ;1;1
185;3;1;1;1;3; ;2012;7;3;3;3; ;2010;2;1;3;3; ;4;4
186;6;1;3;1;1; ;2012;11;4;3;2; ;2008;13;5;3;1; ;2;3
187;6;1;2;1;1; ;2011;13;4;1;1; ;2005;13;2;1;1; ;1;3
188;4;1;3;1;1; ;2007;13;5;1;1; ;9999;13;5;1;7; ;5;1
189;6;2;1;1;1; ;9999;13;5;1;1; ;9999;13;5;1;1; ;2;5
190;1;2;4;1;1; ;2012;8;3;2;1; ;9999;13;3;1;3; ;2;2
191;5;1;3;1;3; ;2010;13;4;1;1; ;9999;13;5;1;3; ;1;1
192;5;1;4;1;1; ;2010;9;4;1;1; ;2007;13;5;1;7; ;2;1
193;4;1;1;1;1; ;2006;13;5;1;1; ;9999;13;5;1;7; ;1;1
195;3;1;3;1;1; ;2011;12;1;2;1; ;2009;7;3;2;3; ;2;2
196;4;2;4;1;1; ;2012;10;4;1;1; ;2008;13;5;1;1; ;2;2
197;2;1;3;1;3; ;2012;5;2;3;3; ;2011;13;1;2;3; ;3;2
198;5;1;3;1;1; ;2010;9;4;3;1; ;9999;10;4;1;1; ;2;4
199;5;2;4;1;1; ;2011;3;2;2;1; ;9999;13;5;1;7; ;1;2
200;2;1;4;1;3; ;2010;6;3;3;3; ;2006;13;5;2;3; ;3;3
201;2;1;3;1;1; ;2011;9;4;1;1; ;2000;9;4;1;1; ;5;3
202;4;1;3;1;1; ;2012;11;4;3;1; ;2011;11;4;3;1; ;2;5
204;6;2;2;1;1; ;2001;13;2;1;1; ;9999;13;3;1;1; ;1;2
206;2;2;2;1;3; ;2012;13;4;3;1; ;2010;13;5;2;1; ;2;4
207;4;1;2;1;1; ;2013;1;1;3;1; ;2012;1;1;3;1; ;1;2
208;3;1;4;1;1; ;2010;1;1;3;1; ;2005;13;5;1;1; ;5;3
210;3;1;1;1;2; ;2012;9;4;3;1; ;2012;2;1;3;2; ;3;4
211;4;2;4;1;1; ;2011;12;1;2;1; ;2009;12;1;1;1; ;4;4
212;5;1;4;1;3; ;2012;9;4;3;1; ;2010;13;5;1;1; ;2;4
213;1;2;1;1;2; ;2011;5;3;3;1; ;2009;6;2;2;2; ;2;2
214;4;2;3;1;1; ;2010;10;4;1;1; ;2008;13;2;1;1; ;3;5
215;6;1;1;1;1; ;2011;8;3;1;1; ;9999;13;5;1;1; ;2;1
216;6;1;2;1;1; ;9999;13;5;2;1; ;2007;8;4;2;7; ;2;2
217;4;2;1;1;1; ;2009;12;1;1;1; ;9999;13;5;1;1; ;4;4
218;3;1;3;1;1; ;2011;7;3;2;6;Siemens;1999;1;1;1;1; ;4;3
219;4;2;3;1;1; ;2012;13;3;3;1; ;9999;13;5;1;1; ;5;1
220;6;2;2;1;1; ;2010;13;5;1;1; ;9999;13;5;1;1; ;2;2
221;4;2;4;1;3; ;2011;13;4;2;1; ;2008;13;5;2;1; ;2;4
222;4;1;3;1;1; ;2005;13;5;1;1; ;9999;13;5;1;1; ;5;3
223;2;2;2;1;2; ;2013;1;1;3;1; ;2012;5;2;3;2; ;3;5
224;5;1;4;1;1; ;2012;12;1;1;1; ;2007;13;5;1;1; ;2;2
225;5;2;3;1;1; ;2012;11;4;3;1; ;2009;5;2;2;1; ;2;1
226;3;2;1;1;1; ;2011;8;3;2;1; ;2009;12;1;2;1; ;3;3
227;3;1;4;1;3; ;2012;7;3;3;1; ;2006;13;5;2;3; ;5;3
228;2;1;2;1;1; ;2011;13;5;3;1; ;9999;13;5;1;2; ;3;2
229;5;1;3;1;6;Motorola;2003;8;3;1;6;Motorola;2000;1;1;1;7; ;2;3
230;4;1;4;1;3; ;2011;7;3;3;1; ;9999;13;5;3;2; ;2;2
231;4;1;4;1;1; ;2009;13;2;2;1; ;1996;13;1;1;1; ;2;2
232;2;1;1;1;3; ;2012;13;2;3;3; ;2010;13;5;3;3; ;1;2
233;3;1;2;1;1; ;2009;13;2;2;1; ;2005;13;5;1;1; ;4;2
234;4;2;2;1;1; ;2008;12;1;1;3; ;2003;13;5;1;1; ;3;4
235;4;1;4;1;3; ;2012;13;5;1;1; ;9999;13;5;1;1; ;2;1
236;6;2;2;1;1; ;2011;13;1;2;3; ;2008;13;2;1;3; ;2;4
237;1;1;4;1;1; ;2012;5;2;2;1; ;2011;13;1;2;1; ;2;2
238;5;2;2;1;1; ;1999;13;3;2;6;Siemens;1996;12;1;1;1; ;2;5
239;4;2;2;1;1; ;9999;13;5;1;7; ; ; ; ; ;7; ;2;1
241;4;2;3;1;1; ;2012;8;3;1;1; ;2008;6;3;1;1; ;3;1
245;2;1;3;1;1; ;2012;9;4;3;1; ;2010;9;4;3;1; ;1;2
248;3;2;1;1;1; ;2008;13;5;1;1; ;1998;13;5;1;1; ;1;1
249;3;1;3;1;1; ;2007;13;3;1;1; ;2006;13;5;4;7; ;6;5
250;1;2;1;1;2; ;2012;1;1;3;1; ;2010;12;1;2;1; ;2;1
252;2;2;3;1;2; ;2012;12;1;3;1; ;2010;12;1;2;2; ;2;2
253;3;2;3;1;6;LG;2012;12;1;3;1; ;2010;13;5;2;7; ;5;4
254;4;1;3;1;3; ;2012;13;1;3;6;ZTE;2010;13;5;3;7; ;4;2
255;4;2;3;1;1; ;2012;6;3;3;1; ;2010;13;1;1;1; ;2;4
256;1;1;1;1;4; ;2011;6;3;3;1; ;2010;13;2;2;4; ;2;1
257;1;1;3;1;1; ;2012;13;1;1;5; ;2006;13;3;1;1; ;2;2
258;2;1;4;1;3; ;2012;11;1;3;3; ;2011;7;3;3;3; ;3;3
259;3;2;4;1;1; ;2012;8;4;3;1; ;2011;6;3;2;1; ;5;3
260;3;2;2;1;1; ;2012;5;2;3;1; ;2010;12;1;3;1; ;5;3
261;3;1;1;1;3; ;2010;13;1;2;3; ;9999;13;5;2;3; ;5;4
262;6;1;1;1;6;doro;2010;12;1;1;7; ; ; ; ; ;6;doro;2;1
263;1;1;4;1;3; ;2010;12;1;2;1; ;9999;13;5;1;7; ;5;5
264;5;2;1;1;1; ;2012;6;3;1;3; ;2008;13;5;1;1; ;1;1
265;2;1;3;1;3; ;2010;13;3;3;1; ;2007;13;5;2;7; ;6;5
266;2;1;3;1;3; ;2007;13;5;1;1; ;2006;13;5;1;7; ;2;2
267;5;1;2;1;1; ;2011;6;3;1;1; ;9999;13;5;1;1; ;1;1
268;3;2;1;1;1; ;2013;1;1;3;1; ;9999;13;5;2;1; ;2;2
269;4;2;1;1;1; ;9999;13;5;3;1; ;9999;13;5;1;1; ;2;3
270;2;2;2;1;1; ;2012;5;2;2;1; ;2010;13;1;1;1; ;2;3
272;3;1;3;1;3; ;2012;12;1;3;1; ;2010;12;1;2;3; ;5;3
273;3;1;3;1;3; ;2012;9;4;1;3; ;2006;1;1;1;3; ;1;1
274;5;2;3;1;3; ;2009;3;2;1;6;Siemens;9999;13;5;1;3; ;2;5
275;1;2;1;1;3; ;9999;13;5;3;3; ;2007;13;5;1;1; ;2;2
276;2;2;1;1;1; ;2010;3;2;2;1; ;2007;13;5;1;1; ;1;1
277;2;2;1;1;3; ;2010;6;3;3;3; ;2005;13;5;1;3; ;2;4
280;4;2;3;1;1; ;2010;11;1;1;1; ;2007;13;5;1;1; ;3;2
282;4;2;2;1;1; ;2012;13;4;1;1; ;2009;13;5;1;1; ;4;3
283;6;2;1;1;1; ;2010;13;5;1;1; ;9999;13;5;1;1; ;2;2
284;4;1;4;1;2; ;2012;7;3;3;1; ;2010;13;2;3;2; ;4;4
285;1;1;1;1;2; ;2012;4;2;3;3; ;9999;13;5;3;2; ;4;5
292;2;2;3;1;1; ;2011;13;5;2;1; ;2010;13;5;1;1; ;2;2
294;5;2;3;1;5; ;2012;11;1;3;1; ;2010;6;3;2;1; ;2;4
295;4;2;2;1;1; ;2011;13;5;2;1; ;2009;13;5;1;1; ;3;4
296;1;2;1;1;1; ;2010;13;5;1;1; ;2008;13;5;1;1; ;4;5
298;1;2;1;1;1; ;2012;2;1;3;5; ;2009;13;3;2;1; ;3;5
300;2;2;2;1;1; ;9999;13;2;2;1; ;9999;13;5;1;3; ;1;1
301;5;1;2;1;1; ;2011;12;1;1;1; ;2002;13;5;1;1; ;2;1
304;1;2;2;1;1; ;2011;13;5;2;1; ;9999;13;5;1;7; ;1;1
305;1;1;1;1;3; ;2012;1;1;3;1; ;9999;13;5;1;2; ;3;2
306;2;2;4;1;1; ;2012;10;4;2;1; ;9999;13;5;1;1; ;1;1
307;1;1;3;1;1; ;2010;10;4;3;1; ;2008;13;5;2;1; ;5;5
310;1;2;3;1;3; ;2012;6;3;3;3; ;9999;13;5;1;2; ;4;5
312;1;2;3;1;2; ;2012;13;4;3;1; ;9999;13;5;2;2; ;5;4
315;6;2;2;1;1; ;9999;13;5;1;7; ; ; ; ; ;1; ;2;5
316;1;1;2;1;4; ;2011;7;3;3;1; ;2008;13;2;2;4; ;2;2
317;3;2;2;1;6;CTE;2013;1;1;3;1; ;2011;2;1;3;7; ;3;5
318;5;2;2;1;1; ;2008;12;4;1;1; ;9999;13;5;1;1; ;2;2
